"Store Name",Address,Latitude,Longitude,City
"تاج الكيف للمعسلات - فرع شارع حراء","Hira St Al Zahra Jeddah 23522 Saudi Arabia",21.6080022,39.1296289,Jeddah
"Vip Taj Al Kaif","3183 Prince Mutaib bin Abdulaziz Rd 3187 Al-Safa 7098 Jeddah 23451 Saudi Arabia",21.5722219,39.2099887,Jeddah
"انغام الكيف للمعسلات والدخان والفيب","طريق الملك عبد العزيز، الاندلس، 7249 الاندلس الفرعي Jeddah 23212 Saudi Arabia",21.5176013,39.166446,Jeddah
"كلاود هاوس الروضة Cloud House","Sari Br Rd Ar Rawdah Jeddah 23435 Saudi Arabia",21.5749896,39.1457009,Jeddah
"الدانة للمعسلات","6528 Al Yaqoot District Jeddah 23826 Saudi Arabia",21.7808257,39.0996156,Jeddah
"ابو طالب للمعسلات الوزيرية","Madain AlDistrict 6877 Jeddah 22347 Saudi Arabia",21.4569749,39.2457036,Jeddah
"هلاكوكو للمعسلات","الجوهرة، Jeddah 22417 Saudi Arabia",21.4375366,39.25026,Jeddah
"متجر الدخان","الرويس،، Al-Ruwais السعودية-جدة-طريق المدينة النازل-مقابل فتدق راديسون ساس - مركز المحمدية بلازا G59J+9FC، Jeddah 23215، Saudi Arabia",21.5183864,39.1811276,Jeddah
"تاج الكيف للمعسلات فرع الحمراء","Palestine Al-Hamra'a Jeddah 52935 Saudi Arabia",21.5274457,39.1740615,Jeddah
"Raw KSA","Naem street Al Naeem Jeddah 23526 Saudi Arabia",21.6196306,39.1448507,Jeddah
"دخان تبغ","Qouraish، 3076 قريش، حي البوادي، جدة 23531 6228، Jeddah 23531 Saudi Arabia",21.5995882,39.1658915,Jeddah
"تاج الشرق للمعسلات","As Salamah، جوار مطعم بانعمة، شارع عبد الرحمن بن أحمد السديرين، حي Jeddah Saudi Arabia",21.5853789,39.1584323,Jeddah
"Al yaooqt","Al Yaqoot Jeddah 23824 Saudi Arabia",21.7821469,39.0864837,Jeddah
"Abu Ziya Hookah Flavors","H656+RR4 Abu Al Wafa Aziziyah Jeddah 23342 Saudi Arabia",21.559529,39.2121468,Jeddah
